Time,Open,High,Low,Last,Change,Volume
11/20/2020,85.28,86.1,84.47,84.64,-0.9,35008400
11/19/2020,82.39,85.64,81.72,85.54,3,50116700
11/18/2020,83.01,83.955,82.22,82.54,-0.82,29967900
11/17/2020,83.93,84.81,82.91,83.36,-0.37,29473500
11/16/2020,81.21,83.78,80.48,83.73,2.3,38640800
11/13/2020,82.73,83.11,80.7,81.43,-0.41,30448400
11/12/2020,81.32,83,80.3,81.84,0.56,37303100
11/11/2020,79.39,81.47,78.97,81.28,3.29,44611200
11/10/2020,81.93,82.13,77.63,77.99,-5.13,67137200
11/09/2020,84.24,87.05,82.77,83.12,-2.76,58580600
11/06/2020,83.52,86.09,82.67,85.88,2.88,53829900
11/05/2020,83.27,83.5,81.85,83,1.65,46542200
11/04/2020,80.25,81.85,78.975,81.35,4.77,66579700
11/03/2020,74.93,77.08,74.6,76.58,1.88,41231800
11/02/2020,75.85,76.3398,73.7573,74.7,-0.59,45760600
10/30/2020,77.09,77.7,74.23,75.29,-2.73,51426100
10/29/2020,76.75,79.18,76.29,78.02,1.62,52784000
10/28/2020,78.73,78.96,75.76,76.4,-2.48,76529904
10/27/2020,82,82.37,77.57,78.88,-3.35,156669408
10/26/2020,82.55,84.97,80.86,82.23,0.27,69423600
10/23/2020,80.93,81.99,79.33,81.96,2.54,46557600
10/22/2020,79.65,80.82,78.42,79.42,0.22,38006700
10/21/2020,81.72,81.9299,79.19,79.2,-2.36,36426400
10/20/2020,82.16,82.69,80.58,81.56,-0.44,38219400
10/19/2020,83.62,84.65,81.53,82,-1.17,36689100
10/16/2020,83.54,83.99,82.41,83.17,0.04,31474200
10/15/2020,83.4,84.7201,82.42,83.13,-1.08,33696400
10/14/2020,85.86,85.96,83.46,84.21,-1.07,40446700
10/13/2020,84.86,86.09,83.9733,85.28,0.99,42764000
10/12/2020,83.65,85.13,83.12,84.29,1.19,47669600
10/09/2020,84.74,85.75,82.3465,83.1,-3.41,80354304
10/08/2020,88.11,88.72,85.95,86.51,-0.18,54240700
10/07/2020,86.1,87.79,85.65,86.69,2.21,43045700
10/06/2020,86.21,87.25,83.54,84.48,-1.67,52725400
10/05/2020,82.55,86.2819,82.55,86.15,4.35,47056500
10/02/2020,82.58,84.65,81.66,81.8,-3.06,52855000
10/01/2020,83.06,85.25,82.86,84.86,2.87,52177100
09/30/2020,81.75,82.94,80.66,81.99,0.22,51533600
09/29/2020,79.3,82.55,79.3,81.77,2.29,61633600
09/28/2020,79.12,79.57,77.52,79.48,1.425,48005400
09/25/2020,76.35,78.2,74.67,78.055,2.235,48206200
09/24/2020,74.54,77.25,73.9,75.82,1.09,57540900
09/23/2020,77.39,77.91,74.34,74.73,-2.97,42327500
09/22/2020,78.36,78.79,75.27,77.7,-0.24,56044700
09/21/2020,74.23,77.98,73.88,77.94,3.01,61311900
09/18/2020,77,77.4,73.85,74.93,-1.62,51082800
09/17/2020,74.88,76.625,74.2,76.55,-0.11,55619100
09/16/2020,79.35,79.72,76.54,76.66,-2.27,38445600
09/15/2020,77.66,80.33,75.97,78.93,1.03,57874400
09/14/2020,76.8,78.82,76.26,77.9,1.56,47448600
09/11/2020,79.82,79.99,75.04,76.34,-2.64,54762900
09/10/2020,83.07,83.31,78.38,78.98,-2.93,51499300
09/09/2020,81.4,82.44,79.28,81.91,3.22,54163800
09/08/2020,78.05,81.88,78,78.69,-3.32,54955600
09/04/2020,81.45,84.39,76.33,82.01,-0.53,82267696
09/03/2020,87.84,88.47,81.59,82.54,-7.68,87462600
09/02/2020,94.01,94.28,88.74,90.22,-1.96,50366900
09/01/2020,91.92,92.51,90.1899,92.18,1.36,56117100
08/31/2020,85.05,92.64,85.05,90.82,5.27,90655904
08/28/2020,84.3,86.04,84.19,85.55,1.75,40723200
08/27/2020,86.35,86.58,82.94,83.8,-2.22,42194200
08/26/2020,86.97,87.72,85.2,86.02,-0.33,47157200
08/25/2020,83.36,86.62,82.35,86.35,3.27,49234400
08/24/2020,84.55,85.33,82.55,83.08,-0.73,38036000
08/21/2020,83.29,84.41,82.23,83.81,1.04,48280300
08/20/2020,79.74,82.84,79.12,82.77,1.68,42948800
08/19/2020,81.78,81.85,80.45,81.09,-0.57,37507300
08/18/2020,82.8,82.88,81.03,81.66,-0.76,30970400
08/17/2020,82.09,83.06,81.552,82.42,1.12,31450100
08/14/2020,81.81,83.24,80.88,81.3,-0.54,42389400
08/13/2020,82.88,84.02,81.54,81.84,-0.77,57407300
08/12/2020,78.43,82.88,77.55,82.61,5.73,88607800
08/11/2020,80.71,80.71,76.1,76.88,-5.36,77877600
08/10/2020,85.05,85.16,79.3221,82.24,-2.61,70536096
08/07/2020,86.67,87.29,82.6702,84.85,-1.86,66543100
08/06/2020,85.49,86.98,84.7801,86.71,1.4,53961700
08/05/2020,84.96,86.32,83.32,85.31,0.27,65737300
08/04/2020,78.03,85.805,77.99,85.04,7.37,155676096
08/03/2020,78.19,78.5,77.06,77.67,0.24,42628800
07/31/2020,78.67,78.96,75.36,77.43,-0.77,71699600
07/30/2020,75.37,78.96,75.07,78.2,2.11,80286800
07/29/2020,75.5,77.19,73.9,76.09,8.48,132969600
07/28/2020,68.1,69.8,67.02,67.61,-1.36,94181296
07/27/2020,69.28,71.63,67.79,68.97,-0.43,107918000
07/24/2020,64.18,69.94,64.05,69.4,9.83,205314496
07/23/2020,61.63,62.33,58.6342,59.57,-2.22,106829104
07/22/2020,57.07,62,56.97,61.79,4.79,135159392
07/21/2020,57.805,58.5,56.3173,57,-0.46,44800600
