Time,Open,High,Low,Last,Change,Volume
11/20/2020,3117.02,3132.89,3098.046,3099.4,-17.62,3380100
11/19/2020,3105.31,3125,3080.92,3117.02,11.56,3010200
11/18/2020,3134,3140,3105.1,3105.46,-30.2,2916800
11/17/2020,3183.54,3189.25,3135.26,3135.66,4.6,3444700
11/16/2020,3093.2,3142.7,3072.685,3131.06,2.25,3808600
11/13/2020,3122,3141.723,3085.39,3128.81,18.53,3762500
11/12/2020,3159.95,3175.88,3086.05,3110.28,-27.11,4371200
11/11/2020,3061.78,3139.145,3050,3137.39,102.37,4366900
11/10/2020,3095.02,3114,3019.483,3035.02,-108.72,6590900
11/09/2020,3211,3289,3112.106,3143.74,-167.63,7190400
11/06/2020,3304.64,3322,3232,3311.37,-10.63,4647300
11/05/2020,3319.97,3366.8,3288.88,3322,80.84,5789200
11/04/2020,3159.99,3244.85,3139.73,3241.16,192.75,6839000
11/03/2020,3018.53,3074.9,2980.98,3048.41,43.93,4897800
11/02/2020,3061.74,3079.705,2950.12,3004.48,-31.67,7257300
10/30/2020,3157.75,3167.004,3019,3036.15,-174.86,8396000
10/29/2020,3201.27,3257.25,3164,3211.01,48.23,6596500
10/28/2020,3249.3,3264.02,3162.47,3162.78,-123.55,5588300
10/27/2020,3224.94,3291.66,3211.3,3286.33,79.29,4291000
10/26/2020,3198.74,3282.98,3153.3,3207.04,2.64,5901100
10/23/2020,3191,3205.33,3140,3204.4,28,3466600
10/22/2020,3189.87,3198.75,3121.94,3176.4,-8.54,4212000
10/21/2020,3212.5,3233.875,3160,3184.94,-32.07,4592700
10/20/2020,3222.28,3266,3192.01,3217.01,9.8,4509600
10/19/2020,3299.61,3329,3192.735,3207.21,-65.5,5223600
10/16/2020,3363.23,3399.661,3160,3272.71,-65.94,6474300
10/15/2020,3292.01,3355.88,3280,3338.65,-25.06,5223400
10/14/2020,3447,3464.88,3340,3363.71,-79.92,5828900
10/13/2020,3467.99,3492.38,3424.217,3443.63,0.7,5744600
10/12/2020,3349.94,3496.24,3339.55,3442.93,156.28,8364100
10/09/2020,3210,3288.99,3197.83,3286.65,96.1,4907800
10/08/2020,3224.99,3233.294,3174.99,3190.55,-5.14,3174100
10/07/2020,3135,3200,3132.385,3195.69,95.73,4309400
10/06/2020,3165,3182,3090,3099.96,-99.24,5086800
10/05/2020,3145.84,3202.53,3140.85,3199.2,74.2,3775300
10/02/2020,3153.63,3195.796,3123,3125,-96.26,5613000
10/01/2020,3208,3224,3172,3221.26,72.53,4971900
09/30/2020,3141.14,3212.88,3133.99,3148.73,3.85,4896100
09/29/2020,3175.39,3188.26,3132.54,3144.88,-29.17,3503300
09/28/2020,3148.85,3175.04,3117.168,3174.05,78.92,4224100
09/25/2020,3054.86,3101.54,2999,3095.13,75.34,4615200
09/24/2020,2977.79,3069.3,2965,3019.79,19.93,5529300
09/23/2020,3120.43,3126.999,2992.376,2999.86,-129.13,5652600
09/22/2020,3033.83,3133.99,3000.2,3128.99,168.52,6948800
09/21/2020,2906.5,2962,2871,2960.47,5.56,6117900
09/18/2020,3031.74,3037.8,2905.54,2954.91,-53.82,8892500
09/17/2020,3009.25,3029.432,2972.55,3008.73,-69.37,6449000
09/16/2020,3179.99,3187.238,3074.15,3078.1,-78.03,4531100
09/15/2020,3136.16,3175.02,3108.92,3156.13,53.16,4021500
09/14/2020,3172.94,3187.39,3096,3102.97,-13.25,4529500
09/11/2020,3208.69,3217.341,3083.98,3116.22,-58.89,5093900
09/10/2020,3307.22,3349.89,3170.55,3175.11,-93.5,5330700
09/09/2020,3202.99,3303.175,3185,3268.61,118.77,5188600
09/08/2020,3144,3250.845,3130,3149.84,-144.78,6094200
09/04/2020,3318,3381.5,3111.13,3294.62,-73.38,8781700
09/03/2020,3485,3488.41,3303,3368,-163.45,8161100
09/02/2020,3547,3552.25,3486.685,3531.45,32.33,3931400
09/01/2020,3489.58,3513.87,3467,3499.12,48.16,3476400
08/31/2020,3408.99,3495,3405,3450.96,49.16,4185800
08/28/2020,3423,3433.37,3386.5,3401.8,1.8,2896900
08/27/2020,3450.05,3453,3378,3400,-41.85,4264700
08/26/2020,3351.11,3451.739,3344.568,3441.85,95.36,6508700
08/25/2020,3294.99,3357.4,3267,3346.49,39.03,3992800
08/24/2020,3310.15,3380.315,3257.561,3307.46,22.74,4666200
08/21/2020,3295,3314.396,3275.39,3284.72,-12.65,3575800
08/20/2020,3252,3312.62,3238,3297.37,36.89,3332400
08/19/2020,3303.01,3315.9,3256,3260.48,-52.01,4185100
08/18/2020,3212,3320,3205.819,3312.49,130.08,5345900
08/17/2020,3173.12,3194.97,3154.177,3182.41,34.39,2691200
08/14/2020,3178.18,3178.236,3120,3148.02,-13,2751700
08/13/2020,3182.99,3217.521,3155,3161.02,-1.22,3149000
08/12/2020,3108,3174.385,3101.42,3162.24,81.57,3527200
08/11/2020,3113.2,3159.22,3073,3080.67,-67.49,3718000
08/10/2020,3170.31,3172.51,3101.52,3148.16,-19.3,3167200
