Time,Open,High,Low,Last,Change,Volume
11/23/2020,142.45,147.75,141.7,145.98,4.91,12860705
11/20/2020,141.71,142.61,140.86,141.07,-0.65,8485900
11/19/2020,142.57,143.2996,141.7,141.72,-2.18,8892400
11/18/2020,144.5,145.48,143.35,143.9,-0.6,9456200
11/17/2020,144.4,144.83,142.56,144.5,-0.17,9354900
11/16/2020,141.91,144.74,141.57,144.67,6.31,16382400
11/13/2020,140.9,141.19,136.52,138.36,2.84,21074400
11/12/2020,136.34,138.49,134.105,135.52,-2.3,13893300
11/11/2020,141.47,142,136.62,137.82,-4.29,9600800
11/10/2020,139.97,142.37,137.67,142.11,-0.48,18115400
11/09/2020,140.98,147.68,138.065,142.59,15.13,35634600
11/06/2020,126.25,128.04,124.6147,127.46,0.5,6259600
11/05/2020,126.78,128.62,125.8,126.96,1.89,7654700
11/04/2020,123.58,126.86,123.41,125.07,1.05,7483000
11/03/2020,121.61,125.07,121.37,124.02,3.89,8144900
11/02/2020,122.24,122.93,119.81,120.13,-1.12,9186000
10/30/2020,120.64,121.75,119.0881,121.25,-0.29,8098800
10/29/2020,118.16,122.63,117.23,121.54,3.07,9583700
10/28/2020,121.01,121.53,118.32,118.47,-4.84,11654600
10/27/2020,124.03,124.61,123.03,123.31,-0.75,6813800
10/26/2020,127.11,127.11,122.95,124.06,-4.29,8578900
10/23/2020,128.1,128.5,126.35,128.35,0.79,5439900
10/22/2020,126.67,128.1,125.97,127.56,0.93,5180000
10/21/2020,124.36,127.56,123.835,126.63,1.68,6591500
10/20/2020,124.58,125.73,123.64,124.95,0.72,6166000
10/19/2020,127.37,127.4,123.71,124.23,-2.58,6576900
10/16/2020,127.81,128.12,126.33,126.81,-0.55,6295100
10/15/2020,125,127.4,124.43,127.36,0.77,7748600
10/14/2020,129.14,129.5,125.29,126.59,-2.37,11536500
10/13/2020,129.8,131.36,127.9,128.96,3.99,22388900
10/12/2020,124.9,125.94,123.73,124.97,-0.01,10958200
10/09/2020,123.85,125.5495,123.33,124.98,1.89,11502200
10/08/2020,123.58,123.75,122.4201,123.09,0.18,7404500
10/07/2020,121.95,123.3098,120.93,122.91,1.98,10187800
10/06/2020,123.13,124.19,120.61,120.93,-2.44,9051900
10/05/2020,123.26,123.595,122.33,123.37,0.82,5919100
10/02/2020,121.99,123.6775,121.69,122.55,-0.76,6490200
10/01/2020,124.94,125.47,122.42,123.31,-0.77,8908300
09/30/2020,123.24,125.55,123.24,124.08,-1.32,13642400
09/29/2020,125.92,126.29,123.675,125.4,-0.59,7432500
09/28/2020,125.75,126.86,125.37,125.99,1.99,6283600
09/25/2020,121.36,124.19,120.98,124,1.51,6851800
09/24/2020,121.93,123.8,120.78,122.49,-0.79,8479900
09/23/2020,127.07,127.3,122.901,123.28,-3.93,8323500
09/22/2020,125.26,127.47,124.7,127.21,1.8,6978700
09/21/2020,126.06,126.8858,123.59,125.41,-3.22,10352600
09/18/2020,129.5,130.79,128.1201,128.63,-1.59,9916200
09/17/2020,130.55,131.77,128.6,130.22,-1.87,6723500
09/16/2020,132.17,133.62,131.4,132.09,0.85,6605900
09/15/2020,131.46,132.54,131.005,131.24,-0.01,7289100
09/14/2020,132.53,132.93,130.904,131.25,-0.5,8391800
09/11/2020,133.74,133.74,131.09,131.75,-1.47,7165200
09/10/2020,133.58,136.75,132.74,133.22,-0.14,9853400
09/09/2020,134.28,135.55,132.26,133.36,-0.84,8891700
09/08/2020,131.99,137.14,130.86,134.2,2.21,17257300
09/04/2020,133.75,134.88,129.42,131.99,-1.25,11248300
09/03/2020,135.24,137.2374,132.02,133.24,-2.15,12079100
09/02/2020,133.63,135.92,133.264,135.39,1.84,8187700
09/01/2020,131.92,133.61,130.89,133.55,1.68,8344000
08/31/2020,135.25,135.54,131.25,131.87,-3.67,11617500
08/28/2020,134.5,136.8,133.5801,135.54,1.81,11020000
08/27/2020,133,136.36,132.82,133.73,1.55,13667600
08/26/2020,130,132.6,129.52,132.18,2.39,8447700
08/25/2020,130.83,131.09,129.31,129.79,-0.9,5494300
08/24/2020,128.15,130.88,127.93,130.69,3.25,7613600
08/21/2020,127.72,128.31,127.23,127.44,-0.68,6064700
08/20/2020,126.8,128.45,126.53,128.12,0.35,4918100
08/19/2020,129.25,130.2166,127.43,127.77,-1.15,7624100
08/18/2020,129.44,129.59,128.36,128.92,-0.45,6714500
08/17/2020,130.1,130.1371,128.54,129.37,-1.16,7492100
08/14/2020,130.01,131.08,129.74,130.53,-0.43,6507500
08/13/2020,130.64,132.35,130.45,130.96,-0.83,6468600
08/12/2020,130.67,133,130.49,131.79,1.3,12205100
08/11/2020,130.53,132.76,130,130.49,1.7,13885600
08/10/2020,129.75,131.32,128.49,128.79,-1.14,8529100
08/07/2020,130.22,131.94,128.66,129.93,-0.89,16088500
08/06/2020,126.96,131.63,125.61,130.82,3.21,27237900
08/05/2020,123.37,130.31,123.28,127.61,10.32,53122300
08/04/2020,115.96,118.35,115.76,117.29,0.94,17293900
08/03/2020,116.17,117.12,115.35,116.35,-0.59,10229100
07/31/2020,115.22,117.05,114.12,116.94,1.28,9623800
07/30/2020,114.91,116.29,113.37,115.66,0.05,9713500
07/29/2020,116.22,116.71,115.11,115.61,-0.57,9496400
07/28/2020,115.46,116.84,114.68,116.18,-0.13,6821000
07/27/2020,117.2,117.42,115.6842,116.31,-1.3,9412900
07/24/2020,115.7,118.21,115.53,117.61,-0.51,8233200
07/23/2020,118.86,119.35,117.01,118.12,-0.91,7255800
07/22/2020,118.19,119.3,117.925,119.03,0.41,7063200
07/21/2020,118.05,120.39,117.66,118.62,0.83,8955900
07/20/2020,118.05,118.485,116.82,117.79,-0.86,8947900
07/17/2020,118.9,119.56,117.06,118.65,-0.78,9848800
07/16/2020,117.72,119.99,117.6,119.43,-1.47,10210100
07/15/2020,121.63,122.09,119.7,120.9,2.24,15314100
07/14/2020,115.23,119.08,114.54,118.66,2.44,12425100
07/13/2020,119.94,120.13,115.89,116.22,-3.12,15620100
07/10/2020,116.83,119.4394,116.21,119.34,2.53,14207900
07/09/2020,116.51,117.85,115.38,116.81,0.15,13582800
07/08/2020,113.48,117.1299,112.81,116.66,3.03,13629500
07/07/2020,113.63,115.08,112.61,113.63,-0.8,10836400
07/06/2020,113.83,114.53,112.9,114.43,2.25,11933400
07/02/2020,115,115.1,112,112.18,-0.83,10311900
07/01/2020,112.82,115.6,112.29,113.01,1.5,11930800
06/30/2020,111.5,112.05,109.93,111.51,-0.01,10565900
06/29/2020,109,111.57,108.1001,111.52,2.42,12584300
06/26/2020,110.95,111.2,108.0221,109.1,-2.26,15270800
06/25/2020,108.99,111.51,108.5,111.36,-0.71,17240400
06/24/2020,115.85,116,110.03,112.07,-4.52,22252500
06/23/2020,116.96,117.45,115.97,116.59,0.67,10187600
06/22/2020,114.19,116.1925,113.11,115.92,1.57,12868000
06/19/2020,119.98,120.12,114.35,114.35,-4.02,23496200
06/18/2020,116.88,118.53,115.93,118.37,0.72,9577300
06/17/2020,118.64,119.23,117.14,117.65,-0.79,8921500
06/16/2020,121.24,121.5,116.05,118.44,1.36,12951100
06/15/2020,112.08,118.12,111.71,117.08,1.59,14156300
06/12/2020,115.17,117,112.89,115.49,2.85,18361900
06/11/2020,117.6,118,112.25,112.64,-9.54,26078800
06/10/2020,124.02,124.1,120.93,122.18,-1.71,11497100
06/09/2020,125.63,125.79,123.51,123.89,-3.39,10882700
06/08/2020,125.1,127.44,123.94,127.28,2.46,13858100
06/05/2020,126.31,127.82,124.28,124.82,1.13,16581500
06/04/2020,121.95,124.5,121.85,123.69,1.51,14195100
06/03/2020,119.99,122.45,119.3201,122.18,3.43,12584300
06/02/2020,119,119.85,117.83,118.75,-0.02,10753100
06/01/2020,117.26,119.6498,116.93,118.77,1.47,10548700
05/29/2020,116.19,117.75,114.12,117.3,0.55,17845700
05/28/2020,121.6,121.98,116,116.75,-4.78,18625600
05/27/2020,123.68,123.78,119.7112,121.53,0.58,19345300
05/26/2020,121.05,122.505,120.43,120.95,2.93,16466300
05/22/2020,117.5,118.57,116.83,118.02,0.19,9288200
05/21/2020,119.34,120.3,116.5,117.83,-2.09,17578300
05/20/2020,116.42,120.87,116.04,119.92,5.55,25749900
05/19/2020,115.1,116.47,113.42,114.37,-2.48,20332500
05/18/2020,114.47,119.78,114.47,116.85,7.8,40075600
05/15/2020,104.98,109.38,104.27,109.05,3.14,29765900
05/14/2020,101.98,105.92,99.6587,105.91,2.99,22002200
05/13/2020,104.5,104.54,101.6,102.92,-1.64,21085700
05/12/2020,109.06,109.44,104.49,104.56,-3.21,17049700
05/11/2020,108.4,108.805,106.41,107.77,-1.39,20555800
05/08/2020,109.05,109.18,106.63,109.16,3.59,24101600
05/07/2020,101.85,105.61,101.83,105.57,4.69,20868700
05/06/2020,101.48,105.27,98.86,100.88,-0.18,51992300
05/05/2020,101.51,105.18,100.9,101.06,-2.12,30169800
05/04/2020,102.01,103.83,100.55,103.18,-2.32,19514800
05/01/2020,106.36,106.91,104.47,105.5,-2.65,13209100
04/30/2020,109.44,110.31,106.86,108.15,-4.1,18638700
04/29/2020,109.94,112.7,108.56,112.25,6.04,20139800
04/28/2020,108.79,110.06,105.98,106.21,0.15,16503600
04/27/2020,102,106.52,101.61,106.06,4.87,15518200
04/24/2020,101.78,101.92,99.52,101.19,0.19,13621100
04/23/2020,100.65,102.5299,99.46,101,0.01,17132100
04/22/2020,101.8,102.63,100.89,100.99,0.45,11491900
04/21/2020,100.01,101.51,99.13,100.54,-1.72,16101400
04/20/2020,103.58,104.86,102,102.26,-4.37,17020900
04/17/2020,106.21,106.79,104.35,106.63,4.61,17926900
04/16/2020,103.53,103.7198,100.89,102.02,-1.35,18029300
04/15/2020,104.06,104.88,102.7,103.37,-2.66,14157600
04/14/2020,105.5,107.64,103.9,106.03,2.53,19866900
04/13/2020,104.71,104.87,99.61,103.5,-1,17305900
