Time,Open,High,Low,Last,Change,Volume
11/20/2020,538.16,539.7799,522.6,523.51,-14.1,8527200
11/19/2020,528.51,539.5,524,537.61,0.46,14148300
11/18/2020,538.61,544.23,527.4,537.15,0.26,12773100
11/17/2020,542.1,543.85,532.1549,536.89,-3.72,7800600
11/16/2020,526.9,545.98,526.2401,540.61,8.73,10344300
11/13/2020,545.09,546.7499,522.37,531.88,-6.39,8669000
11/12/2020,539.16,550.64,532.64,538.27,1.55,9165800
11/11/2020,522.15,537.395,517.93,536.72,25.92,10118500
11/10/2020,544.26,544.26,505.13,510.8,-34.43,16101600
11/09/2020,582.1,587.66,544.43,545.23,-37.25,14574400
11/06/2020,564.39,583.55,555.8,582.48,16.08,9583700
11/05/2020,566.5,573.56,559.64,566.4,14.63,7975700
11/04/2020,535.57,553.1,533.475,551.77,30.99,10255700
11/03/2020,508.34,524.2,504.11,520.78,17.55,6822500
11/02/2020,506.31,513.4663,495.8,503.23,1.87,7491300
10/30/2020,514,517.455,492,501.36,-19.6,10434900
10/29/2020,513.54,527.71,510,520.96,15.88,8002000
10/28/2020,527.92,530.4,504.36,505.08,-30.79,9412900
10/27/2020,532.24,537.68,527.66,535.87,10.22,6262900
10/26/2020,537.08,547.7117,521.54,525.65,-17.96,8422300
10/23/2020,538,543.73,531.65,543.61,9.17,5837100
10/22/2020,540.9,544.47,529.27,534.44,-6.55,7261900
10/21/2020,545,551.66,539.1001,540.99,-4.83,5489900
10/20/2020,543.34,551.99,540.2801,545.82,5.91,5730300
10/19/2020,556.11,559.3399,536.27,539.91,-12.55,7451700
10/16/2020,561.47,564.86,551.7,552.46,-6.34,6065900
10/15/2020,552.43,560.23,550.71,558.8,-5.01,6680600
10/14/2020,571.62,573.71,558.4,563.81,-6.12,6916100
10/13/2020,571.86,573.9399,560.745,569.93,0.89,8615000
10/12/2020,559.58,573.88,556.5,569.04,18.53,10868500
10/09/2020,550.68,552.97,546.43,550.51,-3.04,8672200
10/08/2020,563,563.38,550.32,553.55,-5.01,9472500
10/07/2020,559.99,564.77,554.54,558.56,9.1,10452100
10/06/2020,553.2,565.68,546.6,549.46,3.76,19610400
10/05/2020,529.44,545.77,528.9106,545.7,23.21,11995400
10/02/2020,529,540.78,522.04,522.49,-22.09,13812300
10/01/2020,550.32,550.5095,538.4301,544.58,3.36,13125000
09/30/2020,526.3,544.9,526.01,541.22,12.19,17229600
09/29/2020,517.5,537.71,517.33,529.03,7.63,15575100
09/28/2020,521.61,522.07,510,521.4,6.45,14345200
09/25/2020,497.9,515.34,489.83,514.95,21.03,14700400
09/24/2020,482.89,502.78,480.56,493.92,8.97,18281000
09/23/2020,503.02,509.08,483.17,484.95,-20.56,16175300
09/22/2020,503,505.9199,486.222,505.51,4.82,16161300
09/21/2020,477,500.9,476.18,500.69,13.12,18026000
09/18/2020,503.75,505.3,479.55,487.57,-10.97,17461500
09/17/2020,485.29,503.59,481.39,498.54,-2.04,19812700
09/16/2020,518.29,523.71,500.55,500.58,-19.06,13939900
09/15/2020,531.2,531.95,513.11,519.64,4.75,18188900
09/14/2020,523.24,532.6,505.2457,514.89,28.31,30043600
09/11/2020,499.42,506.1,475.83,486.58,-5.89,15923100
09/10/2020,519.57,522.61,486.68,492.47,-16.13,17467100
09/09/2020,496,512.37,489.27,508.6,32.08,18404900
09/08/2020,469.38,502,468.17,476.52,-28.38,19893200
09/04/2020,511.35,527,468.19,504.9,-15.72,36592000
09/03/2020,553.15,555.38,515.15,520.62,-53.24,23628100
09/02/2020,588.15,589.0699,556,573.86,21.02,21850300
09/01/2020,539.2,559.75,537.46,552.84,17.86,12811800
08/31/2020,527.31,543,521.51,534.98,9.07,12521000
08/28/2020,507,525.92,505.7,525.91,20.78,13428900
08/27/2020,511.26,514,502.6573,505.13,-5.79,7940000
08/26/2020,511.97,514.7396,507.11,510.92,0.92,8031000
08/25/2020,505.23,510.45,502.95,510,1.19,7226900
08/24/2020,515.35,516.5,500.3,508.81,1.47,12264100
08/21/2020,488.07,512.348,487.8064,507.34,21.7,24996700
08/20/2020,479,495,475.15,485.64,0.1,23034600
08/19/2020,491.86,492.6,483.92,485.54,-4.89,15565500
08/18/2020,498,499.84,483.45,490.43,-3.05,12586100
08/17/2020,474.05,496.39,472.6876,493.48,30.92,15532500
08/14/2020,461.2,468.19,457.62,462.56,4.84,9160900
08/13/2020,461.84,468.87,454.23,457.72,0.11,9361400
08/12/2020,439.63,458.68,438.33,457.61,23.61,11623500
08/11/2020,442.95,445.47,431.83,434,-12.6,8862700
08/10/2020,453.37,456.33,434.26,446.6,-1.38,10694800
08/07/2020,452.5,460.19,441.5,447.98,-5.44,8562800
08/06/2020,453.99,454.32,447.15,453.42,1.95,6107800
08/05/2020,449.76,454.8672,446.65,451.47,2.36,6262400
08/04/2020,442,449.11,436.2401,449.11,8.7,7758300
08/03/2020,429.3,443.95,428.61,440.41,15.82,10325400
07/31/2020,422.53,430.66,417.32,424.59,0.03,9657100
07/30/2020,415,424.9218,411.81,424.56,5.94,7722000
07/29/2020,415.63,420.65,413.88,418.62,10,7112600
07/28/2020,414.97,415.28,408.37,408.62,-8.24,6790900
07/27/2020,409.29,417.67,408.71,416.86,9.08,7303200
