Time,Open,High,Low,Last,Change,Volume
11/25/2020,14.77,15.08,14.37,14.94,0.12,100681737
11/24/2020,14.32,14.97,14.08,14.82,1.26,156500896
11/23/2020,12.75,13.58,12.69,13.56,1.03,100763904
11/20/2020,12.8,12.91,12.46,12.53,-0.26,58685500
11/19/2020,12.73,13.04,12.63,12.79,0.05,58809300
11/18/2020,12.91,13.36,12.73,12.74,0.04,99888496
11/17/2020,12.48,12.81,12.23,12.7,-0.09,61956500
11/16/2020,12.87,12.96,12.41,12.79,0.55,104867800
11/13/2020,11.91,12.25,11.85,12.24,0.5,56775100
11/12/2020,11.97,12.23,11.65,11.74,-0.3,75726704
11/11/2020,12.4,12.46,11.93,12.04,-0.34,81359504
11/10/2020,12.85,13.02,12.34,12.38,-0.82,127529296
11/09/2020,14.33,14.41,12.75,13.2,1.74,231326208
11/06/2020,11.44,11.51,11.275,11.46,-0.14,36703600
11/05/2020,11.12,11.67,11.09,11.6,0.595,54890700
11/04/2020,11.21,11.31,10.93,11.005,-0.245,45281300
11/03/2020,11.34,11.45,11.15,11.25,0.06,43775200
11/02/2020,11.32,11.34,10.87,11.19,-0.09,41094500
10/30/2020,11.06,11.415,10.98,11.28,0.12,51348300
10/29/2020,10.96,11.29,10.89,11.16,0.21,44070600
10/28/2020,10.89,11.16,10.63,10.95,-0.28,64399800
10/27/2020,11.77,11.79,11.2,11.23,-0.57,65803300
10/26/2020,12.39,12.45,11.67,11.8,-0.8,85349600
10/23/2020,13.07,13.08,12.42,12.6,-0.55,90787904
10/22/2020,12.6,13.29,12.42,13.15,0.405,90788896
10/21/2020,12.69,12.87,12.55,12.745,-0.055,37503500
10/20/2020,12.75,13,12.585,12.8,0.24,46748700
10/19/2020,12.64,12.865,12.45,12.56,0.1,50560600
10/16/2020,12.31,12.56,12.2,12.46,0.23,32717300
10/15/2020,12.22,12.3,11.97,12.23,-0.13,33776100
10/14/2020,12.35,12.57,12.29,12.36,0.14,37647600
10/13/2020,12.59,12.64,12.2,12.22,-0.7,63372100
10/12/2020,13.14,13.17,12.9,12.92,-0.28,39852400
10/09/2020,13.25,13.49,12.95,13.2,0.045,65280900
10/08/2020,13.33,13.68,12.725,13.155,0.085,88851600
10/07/2020,12.98,13.18,12.81,13.07,0.54,61274100
10/06/2020,13.28,13.44,12.46,12.53,-0.59,85252304
10/05/2020,13.09,13.2,12.75,13.12,0.12,53465500
10/02/2020,12.05,13.35,12,13,0.42,111883200
10/01/2020,12.45,12.77,12.35,12.58,0.29,48841900
09/30/2020,12.32,12.915,12.22,12.29,0.04,65428100
09/29/2020,12.59,12.66,12.11,12.25,-0.51,47209500
09/28/2020,12.74,13.15,12.49,12.76,0.47,63558200
09/25/2020,11.76,12.31,11.71,12.29,0.52,43763900
09/24/2020,11.74,12,11.22,11.77,-0.16,49163100
09/23/2020,12.53,12.74,11.91,11.93,-0.41,45292500
09/22/2020,12.3,12.5,12.18,12.34,0.13,33013400
09/21/2020,12.82,12.98,12.08,12.21,-0.98,60604400
09/18/2020,13.51,13.59,13.03,13.19,-0.44,56403500
09/17/2020,13.5,14.08,13.36,13.63,-0.17,50194400
09/16/2020,13.21,13.96,12.98,13.8,0.66,75458800
09/15/2020,13.2686,13.66,13.0823,13.14,-0.12,38958800
09/14/2020,13.02,13.29,12.9,13.26,0.31,39859100
09/11/2020,13.08,13.08,12.68,12.95,-0.055,43916700
09/10/2020,13.21,13.49,12.97,13.005,-0.045,52318500
09/09/2020,13.48,13.58,12.8,13.05,-0.58,79030096
09/08/2020,13.36,14.16,13.15,13.63,0.02,72746000
09/04/2020,13.65,13.82,12.96,13.61,0.25,64936900
09/03/2020,13.4,14.07,13.03,13.36,0.13,86390704
09/02/2020,12.93,13.34,12.67,13.23,0.13,58889500
09/01/2020,12.86,13.84,12.66,13.1,0.05,72987504
08/31/2020,13.6,13.74,13.05,13.05,-0.54,45917100
08/28/2020,13.59,13.63,13.23,13.59,0.31,54516300
08/27/2020,13.43,14.26,13.12,13.28,0.495,108835696
08/26/2020,13.11,13.15,12.7,12.785,-0.355,44056800
08/25/2020,13.69,14.02,12.77,13.14,-0.3,79053296
08/24/2020,12.44,13.48,12.27,13.44,1.28,102685696
08/21/2020,12.44,12.63,12.09,12.16,-0.34,35822800
08/20/2020,12.38,12.67,12.26,12.5,-0.18,41956600
08/19/2020,12.65,13.44,12.58,12.68,0.08,59266500
08/18/2020,12.6,12.88,12.51,12.6,-0.02,33322200
08/17/2020,13.32,13.38,12.61,12.62,-0.71,56206500
08/14/2020,13.11,13.56,13.01,13.33,0.03,45670200
08/13/2020,13.19,13.9,13.11,13.3,-0.24,47772700
08/12/2020,14.03,14.06,13.1,13.54,-0.19,77639104
08/11/2020,15.02,15.1,13.55,13.73,-0.27,127879200
08/10/2020,13.29,14.31,13.21,14,0.97,121073800
08/07/2020,12.86,13.16,12.58,13.03,-0.01,61700700
08/06/2020,13.04,13.29,12.47,13.04,0.48,131280096
08/05/2020,11.84,12.85,11.55,12.56,1.09,118704400
08/04/2020,11.21,11.88,11.16,11.47,0.39,54824400
08/03/2020,11.07,11.235,10.71,11.08,-0.04,48263900
07/31/2020,11.16,11.25,10.8,11.12,-0.06,51835500
07/30/2020,11.22,11.39,11.12,11.18,-0.22,40525100
07/29/2020,11.8,11.92,11.3,11.4,-0.37,52214500
07/28/2020,11.37,11.995,11.36,11.77,0.38,62356500
07/27/2020,11.48,11.7938,11.18,11.39,0,69451696
07/24/2020,11.67,11.82,11.34,11.39,-0.38,53761400
07/23/2020,11.27,12.41,11.01,11.77,0.41,115574704
07/22/2020,11.38,11.67,11.3,11.36,-0.11,42461300
07/21/2020,11.57,11.79,11.28,11.47,0,64721900
07/20/2020,11.93,12.51,11.35,11.47,-0.44,64109600
