Time,Open,High,Low,Last,Change,Volume
11/20/2020,118.64,118.77,117.29,117.34,-1.3,73604200
11/19/2020,117.59,119.06,116.81,118.64,0.61,74112896
11/18/2020,118.61,119.82,118,118.03,-1.36,76322096
11/17/2020,119.55,120.6741,118.96,119.39,-0.91,74270896
11/16/2020,118.92,120.99,118.146,120.3,1.04,91183000
11/13/2020,119.44,119.6717,117.87,119.26,0.05,81688496
11/12/2020,119.62,120.53,118.57,119.21,-0.28,103350600
11/11/2020,117.19,119.63,116.44,119.49,3.52,112294896
11/10/2020,115.55,117.59,114.13,115.97,-0.35,138023296
11/09/2020,120.5,121.99,116.05,116.32,-2.37,154515296
11/06/2020,118.32,119.2,116.13,118.69,-0.34,114457904
11/05/2020,117.95,119.62,116.8686,119.03,4.08,126387000
11/04/2020,114.14,115.59,112.35,114.95,4.51,138235392
11/03/2020,109.66,111.49,108.73,110.44,1.67,107624400
11/02/2020,109.11,110.68,107.32,108.77,-0.09,122866896
10/30/2020,111.06,111.99,107.72,108.86,-6.46,190573408
10/29/2020,112.37,116.93,112.2,115.32,4.12,146129104
10/28/2020,115.05,115.43,111.1,111.2,-5.4,143937792
10/27/2020,115.49,117.28,114.5399,116.6,1.55,92276704
10/26/2020,114.01,116.55,112.88,115.05,0.01,111850600
10/23/2020,116.39,116.55,114.28,115.04,-0.71,82572600
10/22/2020,117.45,118.04,114.59,115.75,-1.12,101987904
10/21/2020,116.67,118.705,116.45,116.87,-0.64,89945904
10/20/2020,116.2,118.98,115.63,117.51,1.53,124423696
10/19/2020,119.96,120.419,115.66,115.98,-3.04,120639296
10/16/2020,121.28,121.548,118.81,119.02,-1.69,115393800
10/15/2020,118.72,121.2,118.15,120.71,-0.48,112559200
10/14/2020,121,123.03,119.62,121.19,0.09,151062304
10/13/2020,125.27,125.39,119.65,121.1,-3.3,262330400
10/12/2020,120.06,125.18,119.2845,124.4,7.43,240226704
10/09/2020,115.28,117,114.92,116.97,2,100506800
10/08/2020,116.25,116.4,114.5901,114.97,-0.11,83477104
10/07/2020,114.62,115.55,114.13,115.08,1.92,96848896
10/06/2020,115.7,116.12,112.25,113.16,-3.34,161498208
10/05/2020,113.91,116.65,113.55,116.5,3.48,106243800
10/02/2020,112.89,115.37,112.22,113.02,-3.77,144711904
10/01/2020,117.64,117.72,115.83,116.79,0.98,116120400
09/30/2020,113.79,117.26,113.62,115.81,1.72,142675104
09/29/2020,114.55,115.31,113.57,114.09,-0.87,100060496
09/28/2020,115.01,115.32,112.78,114.96,2.68,137672400
09/25/2020,108.43,112.44,107.67,112.28,4.06,149981408
09/24/2020,105.17,110.25,105,108.22,1.1,167743296
09/23/2020,111.62,112.11,106.77,107.12,-4.69,150718592
09/22/2020,112.68,112.86,109.16,111.81,1.73,183055296
09/21/2020,104.54,110.19,103.1,110.08,3.24,195713792
09/18/2020,110.4,110.88,106.09,106.84,-3.5,287104800
09/17/2020,109.72,112.2,108.71,110.34,-1.79,178010896
09/16/2020,115.23,116,112.04,112.13,-3.41,155026592
09/15/2020,118.33,118.829,113.61,115.54,0.185,184642000
09/14/2020,114.72,115.93,112.8,115.355,3.355,140150000
09/11/2020,114.57,115.23,110,112,-1.49,180860304
09/10/2020,120.36,120.5,112.5,113.49,-3.83,182274400
09/09/2020,117.26,119.14,115.26,117.32,4.5,176940400
09/08/2020,113.95,118.99,112.68,112.82,-8.14,231366496
09/04/2020,120.07,123.7,110.89,120.96,0.08,332607104
09/03/2020,127.3,128.84,120.5,120.88,-10.52,257599600
09/02/2020,137.59,137.98,127,131.4,-2.78,200118896
09/01/2020,132.76,134.8,130.53,134.18,5.14,152470096
08/31/2020,127.58,131,126,129.04,4.2325,225702704
08/28/2020,126.0125,126.4425,124.5775,124.8075,-0.2025,187629600
08/27/2020,127.1425,127.485,123.8325,125.01,-1.5125,155552000
08/26/2020,126.18,126.9925,125.0825,126.5225,1.6975,163022000
08/25/2020,124.6975,125.1793,123.0525,124.825,-1.0325,211495600
08/24/2020,128.6975,128.785,123.9362,125.8575,1.4875,345937600
08/21/2020,119.2625,124.868,119.25,124.37,6.095,338054400
08/20/2020,115.75,118.392,115.7334,118.275,2.5675,126906800
08/19/2020,115.9825,117.1625,115.61,115.7075,0.145,145538000
08/18/2020,114.3525,116,114.0075,115.5625,0.955,105633200
08/17/2020,116.0625,116.0875,113.9625,114.6075,-0.3,119561200
08/14/2020,114.83,115,113.045,114.9075,-0.1025,165565200
08/13/2020,114.43,116.0425,113.9275,115.01,2,210082000
08/12/2020,110.4975,113.275,110.2975,113.01,3.635,165944800
