Time,Open,High,Low,Last,Change,Volume
11/25/2020,217.71,221,213.09,217.61,-0.88,19219247
11/24/2020,219.43,222.95,215.76,218.49,6.96,31131900
11/23/2020,203.24,214.2099,201.87,211.53,11.91,28372300
11/20/2020,204.59,206.58,199.17,199.62,-6.05,18230800
11/19/2020,200.45,209.44,199.9007,205.67,2.37,34236000
11/18/2020,223.02,223.02,203,203.3,-6.75,65990600
11/17/2020,200.25,211.2,196.05,210.05,7.65,38299200
11/16/2020,194.56,202.94,191.3501,202.4,15.29,40562800
11/13/2020,179,187.27,178.71,187.11,10.39,19784700
11/12/2020,178.95,184.59,176.25,176.72,-5.43,20336200
11/11/2020,189.89,190,180.41,182.15,-6.54,29907700
11/10/2020,182.8,193.95,180.38,188.69,9.33,46404200
11/09/2020,179,184.46,172.16,179.36,21.62,49014400
11/06/2020,156.33,158.47,154.52,157.74,0.65,8995500
11/05/2020,152.48,157.63,152.1009,157.09,5.46,12328300
11/04/2020,153.17,155.4,151.17,151.63,-2.02,11344700
11/03/2020,151.83,154.82,150.64,153.65,5.05,12249700
11/02/2020,145.75,149.59,143.38,148.6,4.21,13854600
10/30/2020,147.2,149.1699,141.58,144.39,-3.9,15392700
10/29/2020,148.03,150.1,146.6,148.29,0.15,14554200
10/28/2020,153,153.95,148,148.14,-7.1,20279700
10/27/2020,159.16,160.25,155,155.24,-5.59,15491800
10/26/2020,164.95,165.5,159.05,160.83,-6.53,16151100
10/23/2020,169.99,170.26,166.05,167.36,-1.71,10024100
10/22/2020,164.7,169.63,164.095,169.07,5.21,14238100
10/21/2020,166.44,167.63,163.82,163.86,-3.38,11450600
10/20/2020,168.29,169.29,166.18,167.24,0.13,12319900
10/19/2020,169.09,170.84,166.11,167.11,-0.24,16519600
10/16/2020,171.22,173.42,167.27,167.35,3.11,31780600
10/15/2020,161.01,164.54,158.73,164.24,1,13226800
10/14/2020,162.7,165.17,162.49,163.24,1.1,10541700
10/13/2020,165.36,165.5299,162.09,162.14,-5.21,15182600
10/12/2020,167.75,169.2,165.95,167.35,0.02,12176600
10/09/2020,169.93,170,166.82,167.33,-0.67,17405900
10/08/2020,166.22,168.09,163.5401,168,3.39,20598600
10/07/2020,163.71,166.3447,162.38,164.61,5.07,26019000
10/06/2020,173.04,175.56,159.33,159.54,-11.66,47132500
10/05/2020,169.49,172.08,167.51,171.2,3.12,19082100
10/02/2020,161.86,169.78,161.8,168.08,0.22,31773700
10/01/2020,170.15,172.76,165.57,167.86,2.6,30677000
09/30/2020,164.5,170.98,164.11,165.26,1.66,38436600
09/29/2020,164.77,165.5,162.01,163.6,-2.48,19920900
09/28/2020,160.33,168,159.2,166.08,10.05,38868100
09/25/2020,146.85,156.3116,146.415,156.03,9.98,29123000
09/24/2020,150.29,150.31,145.02,146.05,-5.13,27098100
09/23/2020,157.33,160.42,150.89,151.18,-5.62,18247400
09/22/2020,156.81,160.0678,154.95,156.8,0.45,17768900
09/21/2020,157.83,158.83,154.2,156.35,-4.79,23125300
09/18/2020,165.66,169.72,161.02,161.14,-6.39,22057100
09/17/2020,164.63,168.455,161.05,167.53,0.07,19717800
09/16/2020,161.95,170.57,160.31,167.46,3.97,21886200
09/15/2020,166.65,168.84,163.33,163.49,-1.86,14881700
09/14/2020,161.75,165.94,158.9,165.35,5.12,17228400
09/11/2020,158,161.3592,156.32,160.23,2.54,14722400
09/10/2020,160.96,163.78,157.57,157.69,-3.09,14532500
09/09/2020,161.61,163.06,157,160.78,-0.3,21951400
09/08/2020,165.8,166.9,160.5,161.08,-9.97,22622600
09/04/2020,171.31,172.83,164,171.05,2.28,18867200
09/03/2020,175,180.85,168.12,168.77,-6.01,27799300
09/02/2020,172.74,175,171.45,174.78,2.68,16552000
09/01/2020,170.71,175.49,169.25,172.1,0.28,18997400
08/31/2020,174.65,175.2699,171.7,171.82,-3.98,16264200
08/28/2020,175.11,177.28,172.57,175.8,1.6,20383800
08/27/2020,174.71,181.31,173.5601,174.2,2.3,29548000
08/26/2020,173.8,174.4299,171.35,171.9,-2.83,16189700
08/25/2020,180.46,180.63,172.44,174.73,-3.54,31318500
08/24/2020,168.78,178.27,167.93,178.27,10.77,39317100
08/21/2020,168.35,170.0839,167.27,167.5,-2.08,16945900
08/20/2020,168.54,170.84,165.86,169.58,0.31,23213400
08/19/2020,170.44,174.1,169.09,169.27,-0.96,25601500
08/18/2020,172.01,173.238,169.01,170.23,-1.78,21488400
08/17/2020,178.24,178.29,171.4085,172.01,-6.07,23352100
08/14/2020,173.09,179.47,172.35,178.08,3.35,32414000
08/13/2020,173.62,179.47,172.4301,174.73,-0.71,22958700
08/12/2020,184.01,184.149,173.19,175.44,-4.69,40702300
08/11/2020,184.51,189.97,179.53,180.13,0.72,61036600
08/10/2020,171.36,179.79,171.33,179.41,9.39,35857600
08/07/2020,171.5,171.8599,168.7,170.02,-2.18,19317900
08/06/2020,172.8,175.57,170.6,172.2,-2.08,32921600
08/05/2020,167.6,174.98,166.4,174.28,9.21,46550900
08/04/2020,164.63,167.4,163.01,165.07,2.8,30853400
