Time,Open,High,Low,Last,Change,Volume
11/25/2020,9.2,9.25,9,9.08,-0.37,95135512
11/24/2020,9.15,9.5,9.14,9.45,0.59,99520400
11/23/2020,8.82,8.98,8.78,8.86,0.12,71537104
11/20/2020,8.81,8.82,8.68,8.74,-0.08,57024200
11/19/2020,8.88,8.88,8.74,8.82,0,56672600
11/18/2020,8.82,9.05,8.78,8.82,0.07,77759200
11/17/2020,8.66,8.85,8.63,8.75,-0.05,46754500
11/16/2020,8.74,8.85,8.61,8.8,0.26,84853800
11/13/2020,8.23,8.57,8.23,8.54,0.33,79534096
11/12/2020,8.26,8.29,8.1,8.21,-0.12,82319800
11/11/2020,8.6,8.6,8.29,8.33,-0.05,75644400
11/10/2020,8.23,8.59,8.18,8.38,0.18,87468304
11/09/2020,8.11,8.38,8.08,8.2,0.41,110511296
11/06/2020,8.01,8.02,7.75,7.79,-0.2,50912100
11/05/2020,7.76,7.99,7.71,7.99,0.35,61442600
11/04/2020,7.86,7.87,7.63,7.64,-0.24,67326800
11/03/2020,7.76,7.93,7.73,7.88,0.17,65108800
11/02/2020,7.83,7.86,7.68,7.71,-0.02,59962900
10/30/2020,7.85,7.91,7.61,7.73,-0.17,79392400
10/29/2020,8.17,8.24,7.85,7.9,0.2,118999904
10/28/2020,7.68,7.88,7.63,7.7,-0.22,82938200
10/27/2020,8.01,8.09,7.9,7.92,-0.11,64154400
10/26/2020,8.03,8.07,7.94,8.03,-0.13,62130900
10/23/2020,8.3,8.35,8.09,8.16,-0.05,62248900
10/22/2020,7.93,8.22,7.89,8.21,0.36,74008400
10/21/2020,7.77,7.88,7.73,7.85,0.11,51981000
10/20/2020,7.62,7.85,7.58,7.74,0.15,63447000
10/19/2020,7.68,7.72,7.57,7.59,-0.08,38960700
10/16/2020,7.71,7.75,7.61,7.67,0.05,47509400
10/15/2020,7.42,7.62,7.37,7.62,0.05,49336100
10/14/2020,7.73,7.75,7.55,7.57,-0.19,57808800
10/13/2020,7.82,7.88,7.63,7.76,0.09,74562496
10/12/2020,7.36,7.865,7.33,7.67,0.42,97692896
10/09/2020,7.36,7.44,7.23,7.25,-0.1,50977800
10/08/2020,7.29,7.35,7.2,7.35,0.12,54513300
10/07/2020,7.11,7.25,7.06,7.23,0.25,50664100
10/06/2020,7.06,7.25,6.96,6.98,-0.04,78203800
10/05/2020,6.95,7.05,6.945,7.02,0.13,42359400
10/02/2020,6.62,6.93,6.6,6.89,0.14,60798400
10/01/2020,6.71,6.77,6.63,6.75,0.09,58340600
09/30/2020,6.61,6.75,6.59,6.66,0.06,55944600
09/29/2020,6.69,6.695,6.54,6.6,-0.09,39014200
09/28/2020,6.59,6.77,6.58,6.69,0.18,47582600
09/25/2020,6.61,6.7064,6.5,6.51,-0.15,53761800
09/24/2020,6.6,6.76,6.41,6.66,0.02,59822900
09/23/2020,6.81,6.93,6.63,6.64,-0.14,52588500
09/22/2020,6.89,6.99,6.77,6.78,-0.09,55865500
09/21/2020,7.09,7.09,6.81,6.87,-0.36,72850200
09/18/2020,7.31,7.4,7.22,7.23,-0.05,71929296
09/17/2020,7.04,7.34,6.98,7.28,0.26,84850096
09/16/2020,7.05,7.12,6.99,7.02,-0.02,46269800
09/15/2020,7.16,7.18,7,7.04,-0.08,65198400
09/14/2020,7.01,7.18,6.98,7.12,0.12,58704300
09/11/2020,6.94,7,6.85,7,0.09,55080500
09/10/2020,6.99,7.035,6.87,6.91,-0.06,69228600
09/09/2020,7.07,7.1,6.93,6.97,-0.06,56501400
09/08/2020,6.83,7.17,6.81,7.03,0.13,84749200
09/04/2020,6.86,6.95,6.75,6.9,0.08,70017504
09/03/2020,6.92,7.09,6.76,6.82,-0.13,78130800
09/02/2020,6.81,6.97,6.77,6.95,0.12,59008900
09/01/2020,6.77,6.87,6.72,6.83,0.01,48214100
08/31/2020,6.9,6.93,6.79,6.82,-0.12,50089500
08/28/2020,6.93,6.95,6.86,6.94,0.03,39936900
08/27/2020,6.83,6.98,6.83,6.91,0.09,45740800
08/26/2020,6.94,6.97,6.77,6.82,-0.12,48600000
08/25/2020,7.01,7.1,6.86,6.94,-0.04,49549900
08/24/2020,6.73,7,6.69,6.98,0.32,64974700
08/21/2020,6.78,6.85,6.65,6.66,-0.18,39158800
08/20/2020,6.77,6.89,6.73,6.84,-0.03,41824500
08/19/2020,6.89,7.02,6.86,6.87,-0.02,44158100
08/18/2020,6.98,7.01,6.885,6.89,-0.09,40444100
08/17/2020,7.05,7.06,6.87,6.98,-0.06,64555100
08/14/2020,6.97,7.11,6.93,7.04,0.01,43517600
08/13/2020,7.03,7.18,7,7.03,-0.08,50066700
08/12/2020,7.33,7.37,7.06,7.11,-0.12,59194100
08/11/2020,7.21,7.375,7.19,7.23,0.14,74016304
08/10/2020,6.91,7.13,6.905,7.09,0.23,57229000
08/07/2020,6.87,6.92,6.79,6.86,-0.07,47480000
08/06/2020,6.93,7,6.89,6.93,-0.03,48668500
08/05/2020,6.86,7.0291,6.86,6.96,0.1,82716304
08/04/2020,6.91,6.91,6.73,6.86,0.17,69377504
08/03/2020,6.65,6.72,6.53,6.69,0.08,53845800
07/31/2020,6.89,6.9,6.52,6.61,-0.13,115394096
07/30/2020,6.74,6.83,6.67,6.74,-0.18,58990900
07/29/2020,7.05,7.06,6.83,6.92,-0.09,59437100
07/28/2020,6.91,7.05,6.9,7.01,0.08,56312500
07/27/2020,6.92,6.94,6.77,6.93,0.05,60370100
07/24/2020,6.9,7.01,6.86,6.88,-0.1,62292000
07/23/2020,6.87,7.06,6.8,6.98,0.14,88652496
07/22/2020,6.64,6.88,6.61,6.84,0.16,75629504
07/21/2020,6.71,6.81,6.64,6.68,0.02,63343800
07/20/2020,6.8,6.85,6.58,6.66,-0.14,71361600
07/17/2020,6.9,6.91,6.73,6.8,-0.06,80836704
07/16/2020,6.66,6.9,6.63,6.86,0.12,93498496
07/15/2020,6.54,6.78,6.52,6.74,0.38,101648704
07/14/2020,6.18,6.39,6.08,6.36,0.3,106131800
07/13/2020,6.15,6.22,6.05,6.06,-0.04,80190600
07/10/2020,5.8,6.1,5.74,6.1,0.26,73710704
07/09/2020,6.09,6.1,5.82,5.84,-0.25,82693000
07/08/2020,6.13,6.18,6.05,6.09,-0.03,60928600
07/07/2020,6.14,6.2,6.09,6.12,-0.07,56651900
