Time,Open,High,Low,Last,Change,Volume
11/23/2020,270.89,270.95,264.53,268.43,-1.27,20972777
11/20/2020,272.56,273,269.41,269.7,-3.24,18122400
11/19/2020,271.02,273.47,269.19,272.94,0.97,12963600
11/18/2020,274.52,277.3889,271.84,271.97,-3.03,12152900
11/17/2020,277.68,277.68,273.29,275,-3.96,15040200
11/16/2020,275.05,279.41,274.63,278.96,2.01,12970300
11/13/2020,277.72,277.76,273.1,276.95,1.87,10400100
11/12/2020,277.18,279.75,274.43,275.08,-1.4,12914200
11/11/2020,273.47,278.4,272.48,276.48,4.05,14956900
11/10/2020,273.1,274,264,272.43,-6.34,29067600
11/09/2020,287.6,292.58,278.53,278.77,-14.64,25117600
11/06/2020,293.95,294.6,288.06,293.41,-1.27,13890900
11/05/2020,291.9,297.38,288.95,294.68,7.3,23823600
11/04/2020,281,288.94,278.62,287.38,22.08,35364400
11/03/2020,263.16,270.05,260.88,265.3,3.94,17961800
11/02/2020,264.6,270.47,257.34,261.36,-1.75,27165600
10/30/2020,274.5,276.7,259.1,263.11,-17.72,47299000
10/29/2020,276.55,283.6,273.78,280.83,13.16,32368100
10/28/2020,278.79,278.79,267.26,267.67,-15.62,23121800
10/27/2020,278.76,284.51,276.31,283.29,6.18,16287200
10/26/2020,283.16,285.23,274.26,277.11,-7.68,21322900
10/23/2020,278.8,285.24,276.82,284.79,6.67,17535100
10/22/2020,279.87,282.45,275.04,278.12,-0.61,16720000
10/21/2020,279.56,283.05,276.37,278.73,11.17,28998600
10/20/2020,263.06,269.7,262.88,267.56,6.16,18763200
10/19/2020,265.53,268.55,259.88,261.4,-4.53,13586900
10/16/2020,267.38,271.37,265.3,265.93,-0.79,16622700
10/15/2020,267.6,269.04,263.67,266.72,-5.1,15416000
10/14/2020,277.62,278.75,271.5,271.82,-4.32,15601100
10/13/2020,277.58,279.1,273.39,276.14,0.39,18063300
10/12/2020,270.2,280.18,267.87,275.75,11.3,31019200
10/09/2020,264.52,264.75,262.17,264.45,0.69,14107800
10/08/2020,259.75,264.62,259.1488,263.76,5.64,16312700
10/07/2020,259.21,260.18,254.82,258.12,-0.54,23133400
10/06/2020,261.78,265.69,258.24,258.66,-5.99,18696900
10/05/2020,262.2,264.865,260.8401,264.65,4.71,12822200
10/02/2020,261.21,265.15,259.18,259.94,-6.69,16367500
10/01/2020,265.35,268.33,264.8,266.63,4.73,20009800
09/30/2020,261.98,266.085,260.1,261.9,0.11,20142500
09/29/2020,257.81,263.33,256.9,261.79,4.97,20215500
09/28/2020,259.4,259.6,254.8208,256.82,2,18826200
09/25/2020,249.4,255.75,246.61,254.82,5.29,18351300
09/24/2020,246.5,252.24,245.62,249.53,0.51,20006700
09/23/2020,255.26,257.9921,248.15,249.02,-5.73,19641200
09/22/2020,253.31,255.32,248.22,254.75,6.6,30293100
09/21/2020,247.54,249.95,244.13,248.15,-4.38,24709300
09/18/2020,258.4,259.2,250.05,252.53,-2.29,28130700
09/17/2020,258.28,261.5,250.19,254.82,-8.7,31281400
09/16/2020,267.29,272.44,261.79,263.52,-8.9,29207500
09/15/2020,270.67,274.52,269.3,272.42,6.27,18478500
09/14/2020,270.95,276.64,265.7,266.15,-0.46,24093800
09/11/2020,270.06,271.39,262.64,266.61,-1.48,18913800
09/10/2020,275.51,279.16,267.0319,268.09,-5.63,24814600
09/09/2020,275.77,278.48,271.35,273.72,2.56,22918700
09/08/2020,271.28,279.3,269.42,271.16,-11.57,24863900
09/04/2020,287.25,289,271.14,282.73,-8.39,30333600
09/03/2020,295.99,297.6,283.63,291.12,-11.38,32294000
09/02/2020,298.88,303.6,293.05,302.5,7.06,24341300
09/01/2020,294.82,301.49,292.71,295.44,2.24,17320800
08/31/2020,293.95,296.88,291.55,293.2,-0.46,17345100
08/28/2020,295,297.23,290.98,293.66,0.44,17172400
08/27/2020,300.16,301.23,292.02,293.22,-10.69,30301300
08/26/2020,284,304.67,284,303.91,23.09,69015104
08/25/2020,272.41,283.09,270.2601,280.82,9.43,42127200
08/24/2020,271.07,277.2478,268.7701,271.39,4.38,23685600
08/21/2020,268.69,270.49,266.42,267.01,-2,15538600
08/20/2020,261.5,269.63,261.46,269.01,6.42,20299600
08/19/2020,261.388,267.908,261.35,262.59,0.25,23291400
08/18/2020,260.95,265.15,259.26,262.34,1.18,18690300
08/17/2020,262.5,264.0973,259.4,261.16,-0.08,13351000
08/14/2020,262.3,262.65,258.6801,261.24,-0.06,14792700
08/13/2020,261.55,265.16,259.57,261.3,1.41,17373900
08/12/2020,258.97,263.8973,258.1125,259.89,3.76,21428300
08/11/2020,260.185,265.915,255.13,256.13,-6.87,28238200
08/10/2020,268.04,273.86,259.69,263,-5.44,30248800
08/07/2020,264.08,278.89,263.43,268.44,3.16,72766304
08/06/2020,249.04,266.6,248.665,265.28,16.16,45241600
08/05/2020,250.19,252.2698,247.77,249.12,-0.71,13088300
08/04/2020,251.56,252.8,247.43,249.83,-2.13,17183500
08/03/2020,252.65,255.4,250.33,251.96,-1.71,23134100
07/31/2020,255.82,255.85,249,253.67,19.17,53030000
07/30/2020,230.22,234.893,229,234.5,1.21,20615300
07/29/2020,231.14,233.7,230.31,233.29,3.17,13588300
07/28/2020,234.63,234.96,229.83,230.12,-3.38,14170100
07/27/2020,231.46,234.95,230.83,233.5,2.79,13163000
07/24/2020,230.19,233.49,226.9,230.71,-1.89,18325800
07/23/2020,239.63,242.42,231.75,232.6,-7.27,21771800
07/22/2020,240.26,241.9,238.12,239.87,-1.88,15427800
07/21/2020,246.22,246.91,240.08,241.75,-3.67,19409600
07/20/2020,240.06,246.05,235.635,245.42,3.39,20872200
07/17/2020,241,244.16,237.86,242.03,1.1,18152400
07/16/2020,238,241.76,236.3306,240.93,0.65,18880700
07/15/2020,241.55,244.82,238.05,240.28,0.55,19133500
07/14/2020,236.76,240.33,232.03,239.73,0.73,23378000
07/13/2020,247.08,250.15,238.42,239,-6.07,24674800
07/10/2020,243.68,245.49,239.32,245.07,0.57,22982700
07/09/2020,245,246.525,239.24,244.5,0.92,22174800
07/08/2020,238.11,246.99,236.59,243.58,2.72,29791300
07/07/2020,239.41,247.65,238.82,240.86,0.58,27887700
07/06/2020,233.76,240.4,232.27,240.28,6.86,26206100
07/02/2020,239,240,232.61,233.42,-4.13,30633600
07/01/2020,228.5,239,227.56,237.55,10.48,43399700
06/30/2020,220.59,227.5,218.47,227.07,6.43,33927000
06/29/2020,209.75,220.75,207.11,220.64,4.56,58514200
06/26/2020,232.64,233.09,215.4,216.08,-19.6,76343904
06/25/2020,234.62,237.3,232.74,235.68,1.66,18704300
06/24/2020,241.2,243.22,232.68,234.02,-8.22,20834900
06/23/2020,241.28,245.1853,239.86,242.24,3.02,24017900
06/22/2020,238.56,240.7,236.91,239.22,0.43,18917700
06/19/2020,237.79,240.83,235.55,238.79,2.85,30081200
06/18/2020,234.99,236.14,232.15,235.94,0.41,15782400
06/17/2020,235,237.59,231.7268,235.53,-0.12,19578100
06/16/2020,237.14,238.46,233,235.65,3.15,15236600
06/15/2020,225.09,233.77,224.8,232.5,3.92,15340200
06/12/2020,229.9,231.66,224.5,228.58,4.15,22091300
06/11/2020,230.17,232.89,223.55,224.43,-12.3,26708100
06/10/2020,240.96,241.21,235.28,236.73,-1.94,20720700
06/09/2020,231.52,239.77,230.41,238.67,7.27,27462800
