Time,Open,High,Low,Last,Change,Volume
11/25/2020,36.53,36.56,36.24,36.53,-0.07,26857416
11/24/2020,36.13,36.74,36.02,36.6,0.08,42485200
11/23/2020,37.03,37.09,36.21,36.52,-0.18,43673100
11/20/2020,36.7,37.31,36.44,36.7,0.51,60633800
11/19/2020,36.6,36.63,35.86,36.19,-0.13,43261800
11/18/2020,36.93,37.42,36.3,36.32,0.28,63442600
11/17/2020,36.49,36.5,35.82,36.04,-1.29,46984500
11/16/2020,37.86,37.95,36.85,37.33,-1.29,71660400
11/13/2020,37.87,38.655,37.705,38.62,1.07,38254900
11/12/2020,38.28,38.34,37.24,37.55,-0.95,44422000
11/11/2020,38.88,40.2,37.9,38.5,-0.18,55959100
11/10/2020,40.45,40.54,38.46,38.68,-0.52,75988304
11/09/2020,41.86,41.99,38.38,39.2,2.8,218362304
11/06/2020,36.39,36.72,36.09,36.4,0.01,22647700
11/05/2020,37.25,37.3,36.39,36.39,-0.94,32188800
11/04/2020,37.06,38.12,36.96,37.33,1.14,38776600
11/03/2020,36.43,36.62,36.08,36.19,-0.04,20528000
11/02/2020,35.93,36.25,35.54,36.23,0.75,20332600
10/30/2020,35.24,35.535,34.84,35.48,0.2,24334700
10/29/2020,35.48,35.64,34.6,35.28,-0.17,26134100
10/28/2020,36.8,37.13,35.32,35.45,-1.98,32122800
10/27/2020,37.04,38.12,36.87,37.43,-0.49,34963500
10/26/2020,37.87,38.02,37.48,37.92,-0.26,32052300
10/23/2020,37.93,38.285,37.6474,38.18,0.75,28992300
10/22/2020,37.08,37.57,37.03,37.43,0.35,18257700
10/21/2020,37.35,37.45,37.06,37.08,-0.41,18012200
10/20/2020,37.87,37.89,37.35,37.49,-0.31,21238000
10/19/2020,38.42,38.8479,37.64,37.8,-0.15,30295300
10/16/2020,37.07,38.12,37.02,37.95,1.4,40790700
10/15/2020,36.63,36.74,36.41,36.55,-0.31,15272500
10/14/2020,37.01,37.3,36.57,36.86,-0.04,20991100
10/13/2020,36.67,37.125,36.63,36.9,0.08,20439400
