Time,Open,High,Low,Last,Change,Volume
11/23/2020,23.61,25.4,23.5,24.91,1.6,13544270
11/20/2020,24.53,24.6,23.05,23.31,-0.74,11245000
11/19/2020,23.15,24.34,22.78,24.05,1.46,14278500
11/18/2020,21.44,23.69,21.25,22.59,1.24,18616300
11/17/2020,20.82,21.6,20.37,21.35,0.46,9125100
11/16/2020,20.63,21.22,19.84,20.89,-1.38,22589600
11/13/2020,22.02,22.35,21.13,22.27,0.65,7348700
11/12/2020,21.45,22.25,20.89,21.62,-0.32,9631900
11/11/2020,20.89,22.38,20.6,21.94,1.47,12873900
11/10/2020,20.77,20.93,19.11,20.47,0.02,9887200
11/09/2020,20.01,21.38,19.34,20.45,1.42,14544900
11/06/2020,20,20.2,18.37,19.03,-0.14,13387800
11/05/2020,18.25,19.17,18.03,19.17,1.14,11863400
11/04/2020,18.49,18.81,17.85,18.03,-0.42,7847300
11/03/2020,17.89,18.67,17.6791,18.45,0.79,8482300
11/02/2020,17.43,18.19,17.14,17.66,0.24,9873200
10/30/2020,18.13,18.13,17.02,17.42,-0.76,8021600
10/29/2020,17.68,18.315,17.47,18.18,0.7,8614200
10/28/2020,17.98,18.15,17.33,17.48,-0.81,8879100
10/27/2020,18.43,18.98,18.2,18.29,-0.03,6046000
10/26/2020,19,19.24,17.91,18.32,-0.82,12612000
10/23/2020,20.8,20.82,19.05,19.14,-1.59,16148300
10/22/2020,20.64,21.3,20.5,20.73,0.29,8662200
10/21/2020,23.24,23.35,20.25,20.44,-2.59,21009900
10/20/2020,22.91,24.37,22.652,23.03,0.21,25863700
10/19/2020,23,23.62,22.23,22.82,0.38,17276000
10/16/2020,22,23.4,21.87,22.44,0.8,23733400
10/15/2020,20.9,21.86,20.66,21.64,0.31,7764600
10/14/2020,21.88,21.95,20.98,21.33,-0.48,8391700
10/13/2020,20.5,21.98,19.92,21.81,1.24,13081100
10/12/2020,21.5,21.5,20.55,20.57,-0.83,8702400
10/09/2020,22.16,22.203,21.31,21.4,-0.69,10078100
10/08/2020,22.45,22.54,21.55,22.09,0.27,10147600
10/07/2020,21.61,22.2597,21.5215,21.82,0.79,13066100
10/06/2020,21.27,22.53,20.8,21.03,0.02,23874500
10/05/2020,21.22,21.64,20.56,21.01,0.24,13252800
10/02/2020,19.07,20.91,18.82,20.77,0.6,19567400
10/01/2020,19.25,20.37,19.15,20.17,0.94,13913800
09/30/2020,20.06,20.85,18.96,19.23,-1.21,19632100
09/29/2020,20.69,20.98,19.59,20.44,-0.07,32274000
09/28/2020,18.29,20.78,18.1,20.51,4.08,54571700
09/25/2020,15.97,16.47,15.87,16.43,0.51,5428400
09/24/2020,15.5,16.34,14.92,15.92,0.19,11891000
09/23/2020,16.44,16.69,15.54,15.73,-0.74,9965100
09/22/2020,16.49,16.61,16.12,16.47,-0.01,6971900
09/21/2020,16.76,16.9873,15.895,16.48,-0.73,10817300
09/18/2020,17.22,17.38,16.815,17.21,0.03,8275800
09/17/2020,17,17.32,16.72,17.18,-0.23,7316100
09/16/2020,17.53,17.79,17.28,17.41,-0.29,6738400
09/15/2020,17.48,18.08,17.17,17.7,0.31,8909100
09/14/2020,16.8,17.4689,16.6199,17.39,0.83,7629500
09/11/2020,17.45,17.6,16.33,16.56,-0.89,12764600
09/10/2020,17.84,18.4599,17.29,17.45,-0.26,12749700
09/09/2020,18.18,18.705,17.12,17.71,0.31,20204400
09/08/2020,16.39,18.25,16,17.4,1.48,20267000
09/04/2020,16.57,16.89,14.8601,15.92,-0.61,15028500
09/03/2020,16.63,17.19,16.22,16.53,-0.57,12317700
09/02/2020,17.5,17.54,16.33,17.1,-0.31,13413600
09/01/2020,17.89,17.92,17.33,17.41,-0.49,9144600
08/31/2020,18.13,18.26,17.43,17.9,0.44,12781300
08/28/2020,17.35,17.56,17.11,17.46,0.18,5010400
08/27/2020,17.58,17.65,16.85,17.28,-0.06,8927300
08/26/2020,17.48,18.5,17.2301,17.34,-0.15,13362900
08/25/2020,17.79,17.84,17.13,17.49,-0.14,6591600
08/24/2020,17,17.7,16.722,17.63,0.76,9519700
08/21/2020,17.25,17.6,16.77,16.87,-0.44,8947400
08/20/2020,17.5,17.61,16.86,17.31,-0.22,11040100
08/19/2020,17.74,18.18,17.5,17.53,-0.2,7690400
08/18/2020,18.04,18.37,17.48,17.73,-0.44,9919500
08/17/2020,18.68,18.73,17.24,18.17,-0.38,15575500
08/14/2020,18.87,19.09,18.28,18.55,-0.22,7924600
08/13/2020,18.2,19.48,18.02,18.77,0.61,15602600
08/12/2020,18.34,18.44,17.81,18.16,-0.12,8580100
08/11/2020,19.55,19.67,18.14,18.28,-0.95,10638700
08/10/2020,18.47,19.52,18.42,19.23,0.98,12463700
08/07/2020,19.07,19.3,18.13,18.25,-1.09,19625900
08/06/2020,19.8,20,19.05,19.34,-0.81,22158600
08/05/2020,20.09,20.68,19.31,20.15,-0.57,17072200
08/04/2020,21.75,22.18,20.68,20.72,-3.3,23459200
08/03/2020,23.65,24.3,22.66,24.02,1.57,22211800
07/31/2020,23.17,23.4,22.08,22.45,-0.43,7182600
07/30/2020,22.2,23.4,21.91,22.88,-0.09,9228700
07/29/2020,23.69,24.28,22.63,22.97,-0.89,14253900
07/28/2020,25.2,25.8,23.6,23.86,-1.06,23162500
07/27/2020,25.02,25.68,23.77,24.92,0.61,17168300
07/24/2020,24,24.85,23.1,24.31,-0.84,20508300
07/23/2020,26.13,27.55,23.81,25.15,-0.39,39294500
07/22/2020,24.53,26.53,24.5,25.54,0.61,26802800
07/21/2020,23.12,26.32,22.95,24.93,1.95,40169500
07/20/2020,23.76,23.87,22,22.98,-1.07,20749900
07/17/2020,22.79,24.778,22.26,24.05,2.98,54772100
07/16/2020,19.46,22.2,19.07,21.07,2.52,52787800
07/15/2020,18.97,19.14,18.06,18.55,0.12,11649700
07/14/2020,18.11,18.61,17.05,18.43,0.33,15802500
07/13/2020,19.55,20.99,17.7118,18.1,-1.15,36017700
07/10/2020,19.32,19.98,18.27,19.25,-0.21,27768900
07/09/2020,17.1,19.49,17.08,19.46,2.67,51497900
07/08/2020,16.61,16.82,16.2,16.79,0.24,8722600
07/07/2020,16.63,16.84,16.1512,16.55,-0.4,8204000
07/06/2020,16.58,17.09,16.05,16.95,0.7,13901500
07/02/2020,16.78,17.34,16.17,16.25,-0.45,11767800
07/01/2020,16.7,16.89,15.86,16.7,0.36,14961000
06/30/2020,15.21,16.4,14.95,16.34,0.92,13985500
06/29/2020,15.4,15.59,14.65,15.42,-0.13,12930300
06/26/2020,16.1,16.1,15.08,15.55,0.3,20172900
06/25/2020,15.7,15.83,15.02,15.25,-0.25,14515900
06/24/2020,16.24,16.61,15.3,15.5,-0.95,13212300
06/23/2020,17.45,17.58,16.4,16.45,-0.94,19659200
06/22/2020,17.7,17.7,16.12,17.39,2.39,52757700
06/19/2020,15.3,15.67,14.94,15,-0.2,14732900
06/18/2020,14.92,15.455,14.77,15.2,0.22,7005300
06/17/2020,15.28,15.73,14.92,14.98,-0.37,6853900
06/16/2020,16.02,16.08,15.07,15.35,0.03,8624800
06/15/2020,14.45,15.535,14.21,15.32,0.33,10350100
06/12/2020,15.13,15.24,14.31,14.99,0.53,11460600
06/11/2020,15.24,15.66,14.3,14.46,-1.7,17517000
06/10/2020,16.67,16.7892,15.86,16.16,-0.48,9996300
06/09/2020,17.25,17.29,16.28,16.64,-0.65,11087100
06/08/2020,16.14,17.37,16,17.29,1.52,21345200
06/05/2020,16.21,16.27,15.66,15.77,-0.09,13186200
06/04/2020,16.21,16.44,15.76,15.86,-0.53,13581200
06/03/2020,15.35,16.79,15.2,16.39,0.57,29900100
06/02/2020,16.89,16.89,15.76,15.82,-1.7,24364000
06/01/2020,18.36,18.7,17.26,17.52,0.48,22555900
05/29/2020,16.41,17.19,16.3,17.04,0.57,10655900
05/28/2020,17,17.25,16.3,16.47,-1.05,9882500
05/27/2020,17.01,17.74,16.05,17.52,1.19,20927300
05/26/2020,16.16,16.85,15.42,16.33,0.59,16161000
05/22/2020,14.96,15.92,14.62,15.74,1.03,13411300
05/21/2020,15.05,15.28,14.6,14.71,-0.15,9460000
05/20/2020,15.24,15.58,14.81,14.86,-1.01,20259800
05/19/2020,16.01,16.43,15.62,15.87,-0.13,6688500
05/18/2020,16.7,16.8,15.9,16,0.38,8669000
05/15/2020,15.6,16.46,15.475,15.62,-0.26,7992300
05/14/2020,16.25,16.31,15.05,15.88,-0.66,9350400
05/13/2020,17.52,17.65,16.16,16.54,-1.06,8986100
05/12/2020,19.44,19.89,17.55,17.6,-1.8,12741500
05/11/2020,18.85,19.99,18.5,19.4,-0.78,13092300
05/08/2020,20.42,21.53,18.8,20.18,0.34,23698400
05/07/2020,18.97,21,18.57,19.84,1.34,24927500
05/06/2020,17.75,18.95,16.7,18.5,1.88,23781200
05/05/2020,16.98,17.37,16.37,16.62,-0.06,7678300
05/04/2020,16.96,17.48,15.9,16.68,-1.24,6632400
05/01/2020,17.01,18.1,15.55,17.92,0.3,15421500
04/30/2020,18,18.17,17.22,17.62,-0.61,6603400
04/29/2020,17.89,18.86,17.8,18.23,0.67,9394400
04/28/2020,18.41,18.83,17.33,17.56,-0.33,10190900
04/27/2020,17.26,18.461,16.57,17.89,0.87,14106500
04/24/2020,16.67,17.2262,16,17.02,0.36,7960000
04/23/2020,17.33,17.67,16.38,16.66,-0.61,7805600
04/22/2020,17.71,17.79,16.81,17.27,0.4,8668200
04/21/2020,18.09,18.9,16.56,16.87,-2.13,11508000
04/20/2020,18.27,19.85,17.91,19,0.1,11628200
04/17/2020,19.21,19.6,18.5,18.9,0.6,9028700
04/16/2020,20.36,20.8,17.7105,18.3,-1.68,20944000
04/15/2020,18.11,21.07,17.62,19.98,0.95,31677500
04/14/2020,16.03,20.29,15.96,19.03,3.57,38263500
04/13/2020,15.59,15.78,14.81,15.46,0.19,6593000
04/09/2020,16,16.4,14.92,15.27,-0.09,10569000
04/08/2020,14.45,15.66,14.11,15.36,1.29,12291400
04/07/2020,15.73,16.07,13.82,14.07,-0.23,13966000
04/06/2020,13.46,14.49,13.04,14.3,2.11,11532200
04/03/2020,12.97,13.5,12.1,12.19,-0.77,7639000
04/02/2020,12.94,13.8,12.4,12.96,-0.34,8597500
04/01/2020,13.92,14.4299,12.88,13.3,-1.48,9423700
03/31/2020,14.87,15.96,14.55,14.78,0.02,9288200
03/30/2020,15.41,15.7499,14.42,14.76,-0.62,9364800
03/27/2020,16.4,16.4,15.11,15.38,-1.68,10919300
03/26/2020,16.44,18.18,15.73,17.06,1.06,18025100
03/25/2020,17.79,18.39,15.4,16,-0.32,23013100
03/24/2020,15.59,17.44,14.631,16.32,3.35,31445600
03/23/2020,11.73,13.34,11.01,12.97,1.74,16785500
03/20/2020,11.46,14.74,10.986,11.23,0.74,21384300
03/19/2020,10.08,11.4,9.4,10.49,-0.07,10850500
03/18/2020,11.53,11.77,9.06,10.56,-2.1,14362400
03/17/2020,12.36,13.43,11.19,12.66,0.75,12118200
03/16/2020,12.19,13.6,11.72,11.91,-2.78,10896300
03/13/2020,15.52,15.78,13.48,14.69,0.88,12044600
03/12/2020,13.28,16.09,13.13,13.81,-2.6,15286900
03/11/2020,17.92,18.26,15.5,16.41,-2.03,13784300
03/10/2020,20.81,21.12,18,18.44,-1,12406000
03/09/2020,18.3903,20.3699,17,19.44,-2.23,13307600
03/06/2020,22.46,23.28,21,21.67,-2.42,12867800
03/05/2020,22.68,24.3399,22.03,24.09,0.33,14124100
03/04/2020,25.52,25.75,22.86,23.76,-0.95,15466300
03/03/2020,26.9,27.45,23.76,24.71,-1.27,20098100
03/02/2020,27.44,28,25.05,25.98,1.38,23598700
02/28/2020,19.96,25.79,19.25,24.6,2.63,35531100
02/27/2020,23.69,25,19.11,21.97,-6.78,47987600
02/26/2020,31.8,34.69,27.6,28.75,-5.29,40116300
02/25/2020,37.18,37.3,33,34.04,-0.25,44092600
02/24/2020,29.6,36.57,29.1,34.29,0.42,46110100
02/21/2020,34.42,36,32.55,33.87,-3.39,45297400
02/20/2020,38.79,42.49,30.56,37.26,-0.09,135901904
02/19/2020,34.3,37.5,32,37.35,7.05,84891104
02/18/2020,32.17,38.7199,28.71,30.3,1.62,104077696
02/14/2020,24.56,28.79,24.06,28.68,5.02,45609200
02/13/2020,22.75,24.69,22.725,23.66,0.58,21910200
02/12/2020,22.19,24.48,21.05,23.08,1.14,27809400
02/11/2020,21.62,22.28,20.75,21.94,1.39,16091900
