Time,Open,High,Low,Last,Change,Volume
11/25/2020,44.97,46.85,44.85,46.43,1.2,15073764
11/24/2020,45.13,45.44,44.46,45.23,0.29,9053900
11/23/2020,44.9,45.565,44.18,44.94,0.26,10392100
11/20/2020,43.8,45.32,43.45,44.68,1.06,17050900
11/19/2020,43.12,43.87,42.8,43.62,0.29,13873900
11/18/2020,42.94,44.29,42.8,43.33,0.48,9988700
11/17/2020,42.36,43.43,42.36,42.85,0.12,11288700
11/16/2020,43.5,43.64,42.43,42.73,-0.75,14275400
11/13/2020,43.25,43.53,42.415,43.48,0.67,8128400
11/12/2020,43.3,44.15,42.68,42.81,-0.82,9111400
11/11/2020,42.97,43.73,42.86,43.63,1.22,11060700
11/10/2020,43.36,43.97,41.61,42.41,-0.78,14129200
11/09/2020,43.96,45.18,43.11,43.19,0.07,21244700
11/06/2020,43.51,44.19,42.82,43.12,-0.59,17096900
11/05/2020,43.51,44.038,42.48,43.71,0.95,19693600
11/04/2020,42.23,42.93,40.81,42.76,1.03,34716900
11/03/2020,40.03,42.1176,40.03,41.73,2.26,33813000
11/02/2020,41.15,41.6,38.93,39.47,-1.89,47323400
10/30/2020,44.53,45.18,40.83,41.36,-11.07,86425000
10/29/2020,51.95,52.93,50.57,52.43,3.9,55935500
10/28/2020,49.6,50,48.2515,48.53,-2.74,20168000
10/27/2020,49.5,51.51,49.14,51.27,2.27,19306200
10/26/2020,50,50.65,48.395,49,-1.44,22803900
10/23/2020,50.2,50.5,48.9417,50.44,0.16,14897600
10/22/2020,50,50.3401,48.11,50.28,0.04,18289000
10/21/2020,48.97,50.525,48.85,50.24,3.89,30719600
10/20/2020,45.55,46.78,45.46,46.35,0.53,9508400
10/19/2020,46.05,46.3,45.2448,45.82,0.01,9870700
10/16/2020,46.36,46.45,45.053,45.81,-0.22,13009800
10/15/2020,45.06,46.085,44.3,46.03,0.05,19823800
10/14/2020,47.49,47.7,45.6199,45.98,-1.02,14455000
10/13/2020,48.28,48.32,46.99,47,-1.25,9805800
10/12/2020,47.61,48.65,47.41,48.25,2.35,24162400
10/09/2020,46.4,46.4073,45.66,45.9,-0.11,8285300
10/08/2020,46.44,46.62,45.78,46.01,0.14,11355500
10/07/2020,46.07,46.4,45.74,45.87,0.27,19407700
10/06/2020,47.27,47.87,45.03,45.6,-1.71,15666500
10/05/2020,46.46,47.495,46.12,47.31,1.19,11202300
10/02/2020,45.54,46.885,45.43,46.12,-0.58,13496800
10/01/2020,45.07,46.72,44.98,46.7,2.2,18687000
09/30/2020,44.62,45.09,43.95,44.5,-0.24,12923300
09/29/2020,44.35,45.51,44.29,44.74,0.59,13593200
09/28/2020,44.4,44.42,43.61,44.15,0.31,11672200
09/25/2020,43.21,44.02,42.59,43.84,0.7,15456500
09/24/2020,44.69,45.07,42.66,43.14,-2.19,27772700
09/23/2020,43.88,46.8199,43.7,45.33,2.6,64803800
09/22/2020,40.37,42.83,40.27,42.73,2.83,22379000
09/21/2020,39.41,40.2,39.215,39.9,-0.25,13789900
09/18/2020,39.36,40.245,38.93,40.15,0.8,19492900
09/17/2020,38.85,39.535,38.605,39.35,-0.25,12753000
09/16/2020,39.39,40.9,39.19,39.6,0.51,18896600
09/15/2020,39.19,39.3,38.225,39.09,0.32,14104900
09/14/2020,39.41,39.588,38.55,38.77,-0.16,9418300
09/11/2020,39.24,39.49,38.5101,38.93,-0.02,9885500
09/10/2020,39.79,40.4,38.82,38.95,-0.61,10412300
09/09/2020,38.85,39.81,38.33,39.56,1.37,10743900
09/08/2020,38.52,39.18,38.1,38.19,-1.68,16117200
09/04/2020,41.2,41.49,38.4301,39.87,-1.76,17824900
09/03/2020,42.74,43,40.96,41.63,-2.04,18760800
09/02/2020,41.52,44.09,41.36,43.67,2.52,26800000
09/01/2020,40.67,41.245,40.14,41.15,0.57,10478700
08/31/2020,40.99,41.07,40.565,40.58,-0.49,7468300
08/28/2020,40.5,41.17,40.42,41.07,0.68,8033700
08/27/2020,40.97,41.25,40.07,40.39,-0.69,13055000
08/26/2020,40.55,41.33,40,41.08,0.53,12532500
08/25/2020,40.44,40.699,39.32,40.55,0.06,12470500
08/24/2020,39.68,40.8,39.64,40.49,1.23,20496500
08/21/2020,38.99,39.39,38.7,39.26,0.3,9758500
08/20/2020,38.62,39,38.3,38.96,0.07,7745400
08/19/2020,38.09,39.52,38.06,38.89,0.88,17077200
08/18/2020,38.28,38.46,37.74,38.01,0.04,8572400
08/17/2020,37.95,38.09,37.27,37.97,0.07,10188400
08/14/2020,37.74,37.96,37.28,37.9,0.08,10377300
08/13/2020,37.43,38.27,37.37,37.82,0.38,13259400
08/12/2020,37.5,38,36.8207,37.44,0.16,11013300
08/11/2020,37.59,39,36.71,37.28,-0.16,20486000
08/10/2020,38.36,39.17,37.31,37.44,0.3,29298400
08/07/2020,37.42,38.025,36.73,37.14,-0.55,11341000
08/06/2020,36.85,37.81,36.49,37.69,0.9,10478800
08/05/2020,36.56,37.34,36.41,36.79,0.44,10052100
08/04/2020,35.92,36.61,35.65,36.35,-0.04,10596600
08/03/2020,36.41,36.89,35.9038,36.39,-0.01,15488000
07/31/2020,37.33,37.33,35.97,36.4,-0.32,18551500
07/30/2020,36.73,37.105,36.38,36.72,-0.44,9997300
07/29/2020,36.97,37.25,36.73,37.16,0.55,10675500
07/28/2020,36.45,37.32,36.41,36.61,-0.24,13566800
07/27/2020,37.58,37.59,36.09,36.85,-0.69,22911300
07/24/2020,38.28,38.54,37.14,37.54,-0.9,23068300
07/23/2020,37.65,40.255,37.5,38.44,1.5,90266600
07/22/2020,36.97,37.42,36.25,36.94,-0.07,18185100
07/21/2020,37.79,38.5,37,37.01,-0.05,19275800
07/20/2020,35.8,37.17,35.8,37.06,1.25,16866900
07/17/2020,35.31,35.999,34.73,35.81,0.53,18571100
07/16/2020,34.13,35.58,34,35.28,-0.39,24353300
07/15/2020,35.12,35.8,34.6207,35.67,1.29,16579800
07/14/2020,33.53,34.66,33.44,34.38,0.56,18533200
07/13/2020,35.72,36.21,33.76,33.82,-1.58,22480500
07/10/2020,35.46,35.76,34.86,35.4,-0.32,15238700
07/09/2020,35.88,36.18,34.81,35.72,0.31,34648700
07/08/2020,33.2,36.98,32.73,35.41,2.42,109654600
07/07/2020,31.96,33.67,31.765,32.99,0.65,27940800
07/06/2020,31.55,32.81,31.155,32.34,1.47,22399900
07/02/2020,31.3,31.4,30.395,30.87,0.06,14553700
07/01/2020,30.15,31.17,30.06,30.81,1.02,20778900
06/30/2020,29.63,29.82,29.02,29.79,0.3,20647900
06/29/2020,28.51,30.035,28.23,29.49,0.44,27482800
06/26/2020,31.12,31.32,28.75,29.05,-2.32,56913600
06/25/2020,31.54,31.605,30.82,31.37,-0.36,17802500
06/24/2020,32.53,33.06,31.34,31.73,-1.18,16586700
06/23/2020,33.75,33.8,32.7301,32.91,-0.56,20549300
06/22/2020,33.57,33.64,32.95,33.47,0.06,12896500
06/19/2020,34.64,34.945,33.4,33.41,-0.62,19345400
06/18/2020,34.3,34.445,33.86,34.03,-0.31,10543500
06/17/2020,34.49,34.82,34.1,34.34,-0.29,12266100
06/16/2020,35.14,35.46,34.21,34.63,0.52,20132400
06/15/2020,32.91,34.19,32.84,34.11,0.71,19342100
06/12/2020,33.94,34.1701,32.47,33.4,0.37,14709300
06/11/2020,33.13,34.45,32.72,33.03,-2.11,23727800
06/10/2020,36.12,36.44,34.9,35.14,-0.78,17480600
06/09/2020,35.99,36.2,35.163,35.92,-0.72,17840700
06/08/2020,35.96,36.94,35.75,36.64,1.77,20211900
06/05/2020,34.47,35.97,34.47,34.87,1.15,23211500
06/04/2020,34.5,34.94,33.34,33.72,-1.16,20265000
06/03/2020,32.61,35.04,32.44,34.88,2.62,28396300
06/02/2020,32.19,32.425,31.61,32.26,0.37,15318400
06/01/2020,31.06,32.1,30.84,31.89,0.92,14583600
05/29/2020,31.56,31.61,30.29,30.97,-0.63,39427600
05/28/2020,31.5,32.68,31.32,31.6,-1.47,37323800
05/27/2020,33.63,34,32.235,33.07,-0.94,24550800
05/26/2020,33.6,34.27,33.36,34.01,1.39,20489300
05/22/2020,32.38,32.77,31.775,32.62,0.28,13310700
05/21/2020,32.1,32.61,31.39,32.34,0.11,22881600
05/20/2020,30.5,32.35,30.45,32.23,2.35,26955400
05/19/2020,29.7,30.35,29.325,29.88,0.24,17386100
05/18/2020,29.7,30.285,29.56,29.64,0.64,15790000
05/15/2020,28.3,29.25,28.11,29,0.44,15939100
05/14/2020,27.83,28.58,27.12,28.56,0.43,12364600
05/13/2020,29.24,29.68,27.58,28.13,-1.02,19401600
05/12/2020,29.85,29.93,29.09,29.15,-0.54,13734400
05/11/2020,29.65,30.075,29.3318,29.69,-0.24,13839700
05/08/2020,29.09,29.97,28.74,29.93,1.16,19208800
05/07/2020,28.08,28.775,27.94,28.77,1.09,16190500
05/06/2020,28.35,28.42,27.553,27.68,-0.39,15531000
05/05/2020,28.67,28.7299,27.9,28.07,-0.16,19221900
05/04/2020,27.6,28.42,27.39,28.23,0.39,17846200
05/01/2020,28,28.445,27.1915,27.84,-0.84,28231000
04/30/2020,28.79,30.57,28.085,28.68,-2.41,68959000
04/29/2020,30.06,31.5,29.62,31.09,2.3,29568700
04/28/2020,30.4,30.45,28.5734,28.79,-1.21,23363900
04/27/2020,29.13,30.385,29.13,30,1.26,22490500
04/24/2020,27.99,28.835,27.46,28.74,0.88,15936400
04/23/2020,28.43,28.84,27.73,27.86,-0.58,19019500
04/22/2020,27,28.5,26.45,28.44,2.69,28587400
04/21/2020,26.39,26.72,25.055,25.75,-1.26,28093600
04/20/2020,26.31,27.53,26.11,27.01,0.31,16755300
04/17/2020,27.16,27.92,26.47,26.7,0.15,21129400
04/16/2020,26.86,27.17,25.955,26.55,-0.96,21946500
04/15/2020,27.1,27.64,26.75,27.51,-0.43,15822200
